time,rate,group
0,0.0535,ctrl
0,0.0502,ctrl
0,0.0534,ctrl
0,0.0467,ctrl
0,0.0507,ctrl
0,0.0535,atz
0,0.0502,atz
0,0.0534,atz
0,0.0467,atz
0,0.0507,atz
0,0.0535,atz_h2o2
0,0.0502,atz_h2o2
0,0.0534,atz_h2o2
0,0.0467,atz_h2o2
0,0.0507,atz_h2o2
0.25,0.054,ctrl
0.25,0.0553,ctrl
0.5,0.0515,ctrl
0.5,0.0513,ctrl
0.75,0.0512,ctrl
0.75,0.0532,ctrl
1,0.0519,ctrl
1,0.052,ctrl
1.25,0.052,ctrl
1.25,0.0507,ctrl
1.5,0.0498,ctrl
1.5,0.0536,ctrl
1.75,0.0488,ctrl
1.75,0.0522,ctrl
2,0.053,ctrl
2,0.0507,ctrl
2.5,0.049,ctrl
2.5,0.0509,ctrl
0.25,0.0479,atz
0.25,0.05,atz
0.5,0.046,atz
0.5,0.0475,atz
0.75,0.046,atz
0.75,0.0438,atz
1,0.0402,atz
1,0.0411,atz
1.25,0.0396,atz
1.25,0.0383,atz
1.5,0.0462,atz
1.5,0.0397,atz
1.75,0.035,atz
1.75,0.0385,atz
2,0.0316,atz
2,0.0353,atz
2.5,0.0309,atz
2.5,0.0289,atz
0.25,0.0329,atz_h2o2
0.25,0.0318,atz_h2o2
0.5,0.0279,atz_h2o2
0.5,0.0278,atz_h2o2
0.75,0.0243,atz_h2o2
0.75,0.0207,atz_h2o2
1,0.0134,atz_h2o2
1,0.0139,atz_h2o2
1.25,0.0077,atz_h2o2
1.25,0.0062,atz_h2o2
1.5,0.0053,atz_h2o2
1.5,0.0048,atz_h2o2
1.75,0.0029,atz_h2o2
1.75,0.0027,atz_h2o2
2,0.0011,atz_h2o2
2,0.0013,atz_h2o2
2.5,0.0007,atz_h2o2
2.5,0.0008,atz_h2o2
