sample_vol,value,range,group
0.5,0.0126,full_range,A
1,0.0242,full_range,A
1.5,0.0341,full_range,A
2,0.0473,full_range,A
3,0.065933333,full_range,A
4,0.079966667,full_range,A
5,0.0947,full_range,A
6,0.11195,full_range,A
7,0.12095,full_range,A
8,0.13125,full_range,A
9,0.1444,full_range,A
10,0.1526,full_range,A
15,0.1967,full_range,A
20,0.2119,full_range,A
30,0.2326,full_range,A
40,0.2335,full_range,A
0.5,0.0126,up_to_20,B
1,0.0242,up_to_20,B
1.5,0.0341,up_to_20,B
2,0.0473,up_to_20,B
3,0.065933333,up_to_20,B
4,0.079966667,up_to_20,B
5,0.0947,up_to_20,B
6,0.11195,up_to_20,B
7,0.12095,up_to_20,B
8,0.13125,up_to_20,B
9,0.1444,up_to_20,B
10,0.1526,up_to_20,B
15,0.1967,up_to_20,B
20,0.2119,up_to_20,B
0.5,0.0126,up_to_10,C
1,0.0242,up_to_10,C
1.5,0.0341,up_to_10,C
2,0.0473,up_to_10,C
3,0.065933333,up_to_10,C
4,0.079966667,up_to_10,C
5,0.0947,up_to_10,C
6,0.11195,up_to_10,C
7,0.12095,up_to_10,C
8,0.13125,up_to_10,C
9,0.1444,up_to_10,C
10,0.1526,up_to_10,C
0.5,0.0126,up_to_05,D
1,0.0242,up_to_05,D
1.5,0.0341,up_to_05,D
2,0.0473,up_to_05,D
3,0.065933333,up_to_05,D
4,0.079966667,up_to_05,D
5,0.0947,up_to_05,D
0.5,0.0126,up_to_04,E
1,0.0242,up_to_04,E
1.5,0.0341,up_to_04,E
2,0.0473,up_to_04,E
3,0.065933333,up_to_04,E
4,0.079966667,up_to_04,E
0.5,0.0126,up_to_03,F
1,0.0242,up_to_03,F
1.5,0.0341,up_to_03,F
2,0.0473,up_to_03,F
3,0.065933333,up_to_03,F
